hhid,group_id,hhnomembers,gender_hoh,age_hoh,educyears_hoh,readwrite_hoh,noclasspassed_hoh,higheduc_hoh,hhnomembers_above18,hhnomembers_below18,hhreg_muslim,hhreg_christian,hhcaste_fc,hhcaste_bc,hhcaste_mbc,hhcaste_sc_st
115239,166,3,1,30,18,1,0,1,2,1,0,0,0,1,0,0
115240,166,7,0,50,0,0,1,0,4,3,0,0,0,0,1,0
115248,166,5,1,40,9,1,0,0,2,3,0,0,0,0,1,0
115249,171,4,1,46,11,1,0,0,4,0,0,0,0,1,0,0
115261,166,7,1,90,0,0,1,0,5,2,0,0,0,1,0,0
115264,173,6,1,46,7,1,0,0,2,4,0,0,0,0,1,0
115298,179,9,1,60,7,1,0,0,6,3,0,0,0,1,0,0
115304,171,4,1,35,0,0,1,0,2,2,0,0,0,0,1,0
115313,171,4,1,46,7,0,0,0,2,2,0,0,0,0,1,0
115318,171,3,0,45,7,0,0,0,3,0,0,0,0,0,1,0
115324,166,6,0,39,0,0,1,0,5,1,0,0,0,0,1,0
115341,173,4,1,34,0,0,1,0,2,2,0,0,0,0,1,0
115347,166,5,1,48,14,1,0,0,3,2,0,0,0,1,0,0
115363,173,3,0,53,0,0,1,0,3,0,0,0,0,0,1,0
115376,166,5,1,70,7,1,0,0,2,3,0,0,0,1,0,0
115381,173,4,1,39,0,0,1,0,2,2,0,0,0,0,1,0
115382,166,4,1,75,0,0,1,0,3,1,0,0,0,1,0,0
115383,166,5,1,54,12,1,0,0,4,1,0,0,0,0,1,0
115385,173,2,1,35,0,0,1,0,2,0,0,0,0,0,1,0
115407,171,2,1,70,7,1,0,0,2,0,0,1,0,1,0,0
115432,166,4,1,28,8,1,0,0,2,2,0,0,0,0,1,0
115434,167,3,1,45,7,1,0,0,3,0,0,0,0,1,0,0
115435,166,3,1,29,7,0,0,0,2,1,0,0,0,0,1,0
115438,179,5,1,34,18,1,0,1,3,2,0,0,0,1,0,0
115441,179,5,1,38,10,1,0,0,3,2,0,0,0,1,0,0
115451,166,3,1,50,7,0,0,0,3,0,0,0,0,1,0,0
115460,166,8,1,58,7,1,0,0,6,2,0,0,0,0,1,0
115466,166,6,1,40,10,1,0,0,4,2,0,0,0,0,1,0
115481,167,11,1,58,0,0,1,0,8,3,0,0,0,0,1,0
115482,166,4,0,55,7,0,0,0,3,1,1,0,0,1,0,0
115490,166,5,1,40,14,1,0,0,3,2,0,0,0,0,1,0
